sequence_identifier;Domain;Phylum;Class;Order;Family;Genus
OTU_1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;EC94;
OTU_2;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_3;Unclassified;;;;;
OTU_4;Unclassified;;;;;
OTU_5;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_6;Unclassified;;;;;
OTU_7;Unclassified;;;;;
OTU_8;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;;
OTU_9;Unclassified;;;;;
OTU_10;Unclassified;;;;;
OTU_11;Unclassified;;;;;
OTU_12;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;OM182 clade;
OTU_13;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
OTU_14;Unclassified;;;;;
OTU_15;Unclassified;;;;;
OTU_16;Bacteria;Actinobacteriota;Actinobacteria;PeM15;;
OTU_17;Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Simkaniaceae;
OTU_18;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum
OTU_19;Unclassified;;;;;
OTU_20;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;
OTU_21;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;uncultured
OTU_22;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group
OTU_23;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10
OTU_24;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna
OTU_25;Unclassified;;;;;
OTU_26;Unclassified;;;;;
OTU_27;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;SAR86 clade;
OTU_28;Unclassified;;;;;
OTU_29;Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;
OTU_30;Unclassified;;;;;
OTU_31;Unclassified;;;;;
OTU_32;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna
OTU_33;Unclassified;;;;;
OTU_34;Unclassified;;;;;
OTU_35;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus Nitrosopumilus
OTU_36;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;uncultured
OTU_37;Bacteria;Proteobacteria;Alphaproteobacteria;Defluviicoccales;Defluviicoccaceae;Defluviicoccus
OTU_38;Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfocapsaceae;
OTU_39;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_40;Unclassified;;;;;
OTU_41;Unclassified;;;;;
OTU_42;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;
OTU_43;Unclassified;;;;;
OTU_44;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Nitrincolaceae;
OTU_45;Unclassified;;;;;
OTU_46;Unclassified;;;;;
OTU_47;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured
