sequence_identifier	Domain	Phylum	Class	Order	Family	Genus
OTU_1	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	[Synechococcus] spongiarum group
OTU_2	Bacteria	Bacteroidetes	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured
OTU_3	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ruegeria
OTU_4	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella
OTU_5	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_6	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996 marine group
OTU_7	Bacteria	Proteobacteria	Deltaproteobacteria	Oligoflexales	Oligoflexaceae	Oligoflexus
OTU_8	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas
OTU_9	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	
OTU_10	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_11	Bacteria	Acidobacteria	Subgroup 9			
OTU_12	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	C1-B045
OTU_13	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pir4 lineage
OTU_14	Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Aeromonas
OTU_15	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria Incertae Sedis	Unknown Family	Marinicella
OTU_16	Unclassified					
OTU_17	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	
OTU_18	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	JTB255 marine benthic group
OTU_19	Archaea	Thaumarchaeota	Nitrososphaeria	Nitrosopumilales	Nitrosopumilaceae	
OTU_20	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast		
OTU_21	Bacteria	Proteobacteria	Gammaproteobacteria	UBA10353 marine group		
OTU_22	Unclassified					
OTU_23	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Nitrosomonadaceae	966-1
OTU_24	Bacteria	Acidobacteria	Subgroup 17			
OTU_25	Unclassified					
OTU_26	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter
OTU_27	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter
OTU_28	Bacteria	Cyanobacteria	Oxyphotobacteria	Nostocales	Phormidiaceae	
