dataset;X.OTU.ID;GW1941;GW1942;GW1943;GW1944;GW1945;GW1946;GW1947;GW1948;GW1949;GW1950;GW1951;GW1952;GW1953;GW1954;GW1955;GW1956;GW1957;GW1958;GW1959;GW1960;GW1961;GW1962;GW1963;GW1964;GW1965;GW1966;GW1967;GW1968;GW1969;GW1970;GW1971;GW1972;GW1973;GW1974;GW1975;GW1976;GW1977;GW1978;GW1979;GW1980;GW1981;GW1982;GW1983;GW1984
16s;OTU_1;20967;16039;0;23012;26379;14438;18637;10585;0;0;1;0;0;0;0;677;0;0;0;5623;6380;6323;3;14;4;2;0;299;4;0;1;0;4;0;0;1;0;0;8;0;0;12085;1124;0
16s;OTU_2;3;2;3315;0;3;0;0;0;1652;1407;2463;10009;6013;4150;6000;0;5029;5834;4755;0;2;0;0;8;0;0;1;2;2;0;0;0;2;0;0;0;0;0;31;0;0;0;1;774
16s;OTU_3;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;113;300;96;99;783;685;8121;92;230;107;508;128;15;10;180;365;40;2;281;0;0;0
16s;OTU_4;2;14;1319;0;3;0;0;2;51;353;697;3142;2078;1467;1549;0;2073;1528;1317;1;1;0;0;3;0;0;7;1;0;1;0;0;2;1;0;0;1;0;5;0;0;2;0;321
16s;OTU_5;0;1;1200;0;0;0;0;0;272;278;590;1891;1383;483;752;0;1212;770;661;1;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;134
16s;OTU_6;0;0;1029;1;0;0;0;0;444;41;255;2110;2673;1986;1766;0;2094;1522;1219;0;0;0;0;9;0;0;1;1;0;0;0;0;0;0;0;0;0;0;14;0;0;3;0;459
16s;OTU_7;4685;3732;0;3081;2686;2207;2148;3505;0;0;0;0;0;0;0;33;0;0;0;1198;387;1023;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;3;0;0;2415;226;0
16s;OTU_8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;7;0;248;427;0;1790;1237;301;221;271;4528;245;196;393;29;133;6059;762;177;1;0;0
16s;OTU_9;0;4;0;0;0;0;2;0;4;0;0;0;0;0;0;0;0;0;0;2;0;0;34;455;60;61;934;597;560;136;66;94;1;106;44;103;24;132;1099;667;31;1;0;0
16s;OTU_10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1501;0;3;7;1;1;1;2;16;2940;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_11;30;89;16;40;9;1;8;52;808;1214;359;11;0;2;1;0;0;0;3;125;36;20;525;78;809;552;147;562;315;961;782;400;149;1160;947;498;681;522;47;10;658;0;304;86
16s;OTU_12;0;0;491;0;0;0;0;0;168;29;208;1040;942;685;795;0;680;859;785;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;178
16s;OTU_13;0;0;476;0;0;0;0;0;148;60;181;976;546;517;497;0;673;294;488;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;144
16s;OTU_14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;28;12;16;112;171;75;453;11;6;134;23;32;51;0;15;189;347;11;0;0;0
16s;OTU_15;417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;33;530;42;134;3781;94;116;2;80;57;1491;19;17;40;50;125;605;174;32;0;0;0
16s;OTU_16;0;0;71;0;0;1;0;0;188;19;92;1965;537;1575;859;0;524;793;1550;0;0;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;4;0;0;1;0;394
16s;OTU_17;0;0;327;0;0;0;0;0;98;4;251;1749;591;1344;725;0;943;692;1118;1;0;0;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;330
16s;OTU_18;104;0;6;0;0;0;0;0;0;0;238;0;4;2;0;0;4;0;2;0;0;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_19;37;37;0;159;37;18;63;55;0;0;0;0;0;0;0;0;0;0;0;13;6;42;4;225;11;22;1071;64;79;6;17;0;557;13;10;32;3;10;209;118;11;38;6;0
16s;OTU_20;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;511;18;26;869;33;26;193;22;11;11;89;24;21;2;12;14;25;7;0;0;0
16s;OTU_21;130;322;54;287;24;1048;202;65;9;3;14;87;196;26;74;0;46;92;15;15;156;20;1;260;1;2;1342;49;12;1;1;17;58;1;3;2;3;13;84;16;0;1872;209;13
16s;OTU_22;0;0;29;0;0;1;1;0;90;143;227;875;147;631;453;0;459;295;430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;234
16s;OTU_23;18;121;0;1551;32;258;9;9;0;0;0;0;0;0;0;0;0;0;0;0;175;1;0;0;0;0;0;1;0;3;0;0;0;0;0;0;0;0;2;0;0;0;0;0
16s;OTU_24;0;0;41;0;0;0;0;0;125;241;170;814;237;342;516;0;432;325;569;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;281
16s;OTU_25;279;307;272;265;41;512;231;119;25;45;69;150;135;35;64;0;63;102;16;141;266;119;11;301;14;30;195;18;11;12;19;33;44;13;10;17;5;33;27;30;16;641;460;12
16s;OTU_26;17;24;0;22;0;3;10;33;0;0;3;1;0;0;0;0;0;0;0;5;0;9;0;1195;0;1;19;0;5;0;0;6;1229;0;0;0;1;3;0;0;0;5;1;0
16s;OTU_27;201;202;64;194;38;417;173;85;13;4;13;161;110;36;58;0;65;92;30;19;154;32;0;495;5;1;607;20;4;2;1;13;63;2;0;1;3;11;29;17;0;966;83;11
16s;OTU_28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;46;19;71;70;73;104;6;60;3;175;47;66;20;164;33;138;6;0;0;0
16s;OTU_29;0;32;1;0;1;0;0;0;6;1;1;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;673;9;0;1;2;0;1;0;0;0;0;37;6;0;1;0;0;0
16s;OTU_30;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;44;9;144;7;798;116;10;19;0;0;13;48;2;4;15;1;1;48;3;0;0
16s;OTU_31;0;0;14;0;0;0;0;0;82;132;51;860;51;664;642;0;454;319;570;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;143
16s;OTU_32;0;1;0;0;1;0;1;0;148;23;56;0;0;0;0;0;0;0;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0
16s;OTU_33;390;140;0;55;84;344;20;51;0;0;0;0;0;0;0;2;0;0;0;0;129;82;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;479;4;0
16s;OTU_34;0;0;21;0;0;0;0;0;20;16;130;65;127;83;40;0;154;44;23;0;0;0;0;0;0;0;14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24
16s;OTU_35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;112;3;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16s;OTU_36;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;31;47;17;42;138;129;85;73;30;35;257;74;25;45;30;52;49;153;16;3;0;0
16s;OTU_37;0;0;99;0;0;0;0;0;34;51;67;42;28;51;17;0;28;13;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36
16s;OTU_38;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;210;0;2;403;34;18;0;0;12;488;3;1;0;0;3;92;11;3;0;0;0
16s;OTU_39;0;0;11;0;0;0;0;0;33;76;51;338;204;503;224;0;495;170;431;0;0;0;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43
16s;OTU_40;0;0;28;0;0;0;0;0;39;94;109;114;95;102;85;0;62;54;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;76
16s;OTU_41;861;342;0;563;518;354;749;583;0;0;0;0;0;0;0;11;0;0;0;64;12;38;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;117;30;0
16s;OTU_42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;25;1;0;21;2;3;88;0;0;15;70;10;37;0;0;0;3;0;0;0
16s;OTU_43;8;10;2;14;10;96;1;1;2;1;0;2;3;7;1;1;1;1;2;13;3;3;2;62;11;3;153;9;0;3;3;99;27;5;10;5;6;74;7;44;6;166;53;11
16s;OTU_44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;75;0;0;0;0;1;0
16s;OTU_45;2;0;0;0;1;0;0;0;73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;8;16;1;4;24;1;13;2;1;8;5;5;64;0;0;0;6;0;0;0
16s;OTU_46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;135;27;6;57;4;8;96;5;44;86;4;3;21;3;17;192;38;1;0;0;0
16s;OTU_47;3;0;0;0;0;0;0;0;11;37;1;0;0;0;0;0;0;0;0;0;0;0;8;80;11;20;9;104;21;16;18;0;38;17;14;14;3;23;30;1;73;0;0;0
