sequence_identifier;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_1;Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;EC94;;
OTU_2;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_3;Unclassified;;;;;;
OTU_4;Bacteria;Proteobacteria;Gammaproteobacteria;UBA10353 marine group;;;
OTU_5;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_6;Unclassified;;;;;;
OTU_7;Unclassified;;;;;;
OTU_8;Unclassified;;;;;;
OTU_9;Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Cyclobacteriaceae;Ekhidna;
OTU_10;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_11;Archaea;Crenarchaeota;Nitrososphaeria;Nitrosopumilales;Nitrosopumilaceae;Candidatus;Nitrosopumilus
OTU_12;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_13;Bacteria;Actinobacteriota;Acidimicrobiia;Microtrichales;Microtrichaceae;Sva0996 marine group;
OTU_14;Unclassified;;;;;;
OTU_15;Unclassified;;;;;;
OTU_16;Unclassified;;;;;;
OTU_17;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;OM182 clade;;
OTU_18;Unclassified;;;;;;
OTU_19;Unclassified;;;;;;
OTU_20;Unclassified;;;;;;
OTU_21;Bacteria;Actinobacteriota;Actinobacteria;PeM15;;;
OTU_22;Unclassified;;;;;;
OTU_23;Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Simkaniaceae;;
OTU_24;Unclassified;;;;;;
OTU_25;Bacteria;Cyanobacteria;Cyanobacteriia;Synechococcales;Cyanobiaceae;Synechococcus;CC9902
OTU_26;Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Tenacibaculum;
OTU_27;Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;uncultured;
OTU_28;Unclassified;;;;;;
OTU_29;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
OTU_30;Unclassified;;;;;;
OTU_31;Bacteria;Proteobacteria;Gammaproteobacteria;JTB23;;;
OTU_32;Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;;;
OTU_33;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;SAR86 clade;;
OTU_34;Bacteria;Proteobacteria;Gammaproteobacteria;pItb-vmat-80;;;
OTU_35;Bacteria;Proteobacteria;Gammaproteobacteria;Gammaproteobacteria Incertae Sedis;Unknown Family;uncultured;
OTU_36;Unclassified;;;;;;
OTU_37;Unclassified;;;;;;
OTU_38;Bacteria;Proteobacteria;Alphaproteobacteria;Parvibaculales;PS1 clade;;
OTU_39;Unclassified;;;;;;
OTU_40;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_41;Unclassified;;;;;;
OTU_42;Bacteria;Proteobacteria;Alphaproteobacteria;Kiloniellales;Kiloniellaceae;Pelagibius;
OTU_43;Bacteria;Proteobacteria;Alphaproteobacteria;SAR11 clade;Clade I;Clade Ia;
OTU_44;Unclassified;;;;;;
OTU_45;Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales;Thermoanaerobaculaceae;Subgroup 10;
