X.OTU.ID;GW1941;GW1942;GW1943;GW1944;GW1945;GW1946;GW1947;GW1948;GW1949;GW1950;GW1951;GW1952;GW1953;GW1954;GW1955;GW1956;GW1957;GW1958;GW1959;GW1960;GW1961;GW1962;GW1963;GW1964;GW1965;GW1966;GW1967;GW1968;GW1969;GW1970;GW1971;GW1972;GW1973;GW1974;GW1975;GW1976;GW1977;GW1978;GW1979;GW1980;GW1981;GW1982;GW1983;GW1984
OTU_4076;23054;23185;21941;15244;14824;24170;7223;17879;20459;18064;19819;6;21;11;19;5;19;11;79;22;22;20;27388;28502;33575;27600;25192;11;26946;24883;23677;19836;23602;23924;24747;24478;23446;22817;25335;23019;18990;11;9;17797
OTU_4077;12;9;7;12;9;17;103;6;5;6;3;31317;27221;31132;31256;31071;29736;27970;26440;25354;27109;28701;93;15;20;20;5;3;5;8;6;11;16;16;4;8;11;8;8;14;3;16931;8921;9
OTU_4078;335;31;1;17;361;1;13650;19;5;3885;1;20;445;0;4;1;31;0;8;140;8;19;0;0;1;0;2;0;1;0;0;0;6;0;3;0;6;0;0;1;0;0;0;0
OTU_4079;2;2;2;1229;9461;3;981;48;3;23;2;1;0;0;0;0;5;0;0;0;3;0;0;1;3;0;2;0;0;1;1;0;1;0;0;0;3;0;0;1;2;2;4103;5
OTU_4080;1;1;1;0;0;1;1;6397;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;2
OTU_4081;0;5398;96;4126;0;1;1042;3;1062;1827;98;3;0;0;1;0;10;0;5;9;0;1;0;1;0;1;0;0;1;3;0;0;0;0;1;0;1;2;0;2;0;2;443;0
OTU_4082;2553;303;1658;1778;89;692;162;202;579;110;749;0;0;1;1;0;2;2;0;0;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;1;1;157
OTU_4083;1;2;0;1;1;0;0;0;0;0;2;689;392;776;1399;605;779;975;1654;893;563;213;1;0;1;1;1;0;0;0;0;0;0;1;3;0;1;0;1;0;1;149;466;1
OTU_4084;0;0;0;0;497;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1318;0
OTU_4085;609;124;1190;545;11;355;36;18;388;12;197;0;3;1;0;0;0;0;1;0;0;0;4;0;2;1;0;0;1;0;0;0;0;0;1;0;1;1;1;0;0;0;0;116
OTU_4086;2;60;0;237;0;48;51;0;1042;1240;93;0;1;0;0;0;0;0;0;0;0;0;45;0;7;0;0;0;0;1;20;0;1;2;34;0;68;0;0;0;10;0;0;0
OTU_4087;880;484;1;14;0;0;513;0;0;1;377;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;0
OTU_4088;4;69;0;634;0;16;13;56;93;37;83;0;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;1
OTU_4089;0;0;0;626;0;0;0;0;0;18;0;1;0;0;3;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
