sequence_identifier;size;sequence_score;identity;Domain;Phylum;Class;Order;Family;Genus;Species
OTU_4076;1373;0.986226;100;Eukaryota;Porifera;Demospongiae;;;;
OTU_4077;238;0;100;Eukaryota;Porifera;Demospongiae;;;;
OTU_4078;131;0;100;Unclassified;;;;;;
OTU_4079;116;0;100;Unclassified;;;;;;
OTU_4080;67;0;100;Eukaryota;Porifera;Demospongiae;;;;
OTU_4081;55;0;100;Eukaryota;Porifera;Calcarea;;;;
OTU_4082;51;0;100;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_4083;141;0.986559;100;Unclassified;;;;;;
OTU_4084;47;0;100;Unclassified;;;;;;
OTU_4085;24;0;100;Bacteria;Proteobacteria;Gammaproteobacteria;Proteobacteria;Gammaproteobacteria;;
OTU_4086;94;0;100;Unclassified;;;;;;
OTU_4087;20;0;100;Eukaryota;Annelida;Polychaeta;Phyllodocida;;;
OTU_4088;10;0.989266;100;Unclassified;;;;;;
OTU_4089;35;0;100;Unclassified;;;;;;
OTU_4090;22;0.986814;100;Eukaryota;Annelida;Polychaeta;;;;
OTU_4091;6;0;100;Unclassified;;;;;;
OTU_4092;111;0;100;Unclassified;;;;;;
OTU_4093;14;0;100;Unclassified;;;;;;
OTU_4094;7;0;100;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_4095;19;0;100;Eukaryota;Porifera;Demospongiae;Clionaida;;;
OTU_4096;9;0;100;Eukaryota;Annelida;Polychaeta;;;;
OTU_4097;17;0;100;Unclassified;;;;;;
OTU_4098;4;0.985541;100;Unclassified;;;;;;
OTU_4099;8;0;100;Unclassified;;;;;;
OTU_4100;6;0;100;Unclassified;;;;;;
OTU_4101;32;0;100;Eukaryota;Bryozoa;Gymnolaemata;Ctenostomatida;;;
OTU_4102;19;0.986713;100;Unclassified;;;;;;
OTU_4103;13;0;100;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Xanthobacteraceae;;
OTU_4104;19;0.986761;100;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_4105;13;0;100;Unclassified;;;;;;
OTU_4106;5;0.986503;100;Unclassified;;;;;;
OTU_4107;5;0;100;Eukaryota;Kinorhyncha;Cyclorhagida;;;;
OTU_4108;12;0;100;Unclassified;;;;;;
OTU_4109;2;0;100;Eukaryota;Annelida;Polychaeta;Scolecida;;;
OTU_4110;11;0.986383;100;Unclassified;;;;;;
OTU_4111;5;0.986744;100;Unclassified;;;;;;
OTU_4112;2;0;100;Bacteria;Planctomycetes;Planctomycetia;Pirellulales;Pirellulaceae;;
OTU_4113;3;0.984118;100;Eukaryota;Cnidaria;Scyphozoa;Coronatae;;;
OTU_4114;3;0;100;Unclassified;;;;;;
OTU_4115;10;0;100;Unclassified;;;;;;
OTU_4116;3;0;100;Unclassified;;;;;;
OTU_4117;5;0;100;Unclassified;;;;;;
OTU_4118;2;0;100;Eukaryota;Porifera;Demospongiae;;;;
OTU_4119;3;0;100;Eukaryota;Arthropoda;Maxillopoda;;;;
OTU_4120;6;0;100;Eukaryota;Brachiopoda;;;;;
OTU_4121;4;0;100;Eukaryota;Rhodophyta;Florideophyceae;Corallinophycidae;;;
OTU_4122;5;0;100;Unclassified;;;;;;
OTU_4123;4;0;100;Unclassified;;;;;;
OTU_4124;5;0;100;Unclassified;;;;;;
OTU_4125;3;0;100;Unclassified;;;;;;
OTU_4126;2;0;100;Eukaryota;Arthropoda;Maxillopoda;;;;
OTU_4127;2;0;100;Unclassified;;;;;;
OTU_4128;3;0;100;Unclassified;;;;;;
OTU_4129;2;0;100;Eukaryota;Arthropoda;Maxillopoda;;;;
OTU_4130;4;0;100;Bacteria;Dadabacteria;Dadabacteriia;Dadabacteriales;;;
OTU_4131;4;0;100;Unclassified;;;;;;
OTU_4132;2;0;100;Unclassified;;;;;;
OTU_4133;3;0;100;Unclassified;;;;;;
OTU_4134;3;0;100;Unclassified;;;;;;
OTU_4135;2;0;100;Eukaryota;Ciliophora;Oligohymenophorea;Sessilida;Vaginicolidae;Cothurnia;
OTU_4136;2;0.98666;100;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;;
OTU_4137;3;0;100;Bacteria;Proteobacteria;Gammaproteobacteria;;;;
OTU_4138;2;0.986823;100;Unclassified;;;;;;
OTU_4139;5;0;100;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_4140;2;0;100;Eukaryota;Bacillariophyta;;;;;
OTU_4141;2;0.98619;100;Bacteria;Proteobacteria;Gammaproteobacteria;HOC36;;;
OTU_4142;5;0.986709;100;Eukaryota;Dinoflagellata;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;
OTU_4143;3;0;100;Eukaryota;Arthropoda;Maxillopoda;;;;
OTU_4144;5;0.975571;99.2537;Unclassified;;;;;;
OTU_4145;16;0.98782;99.2424;Bacteria;Proteobacteria;Alphaproteobacteria;;;;
OTU_4146;2;0.988434;99.2424;Eukaryota;Cnidaria;Hydrozoa;Leptothecata;;;
OTU_4147;79;0.989012;99.2366;Unclassified;;;;;;
