#OTU ID	GW1941	GW1942	GW1944	GW1945	GW1946	GW1947	GW1948	GW1952	GW1953	GW1954	GW1955	GW1957	GW1958	GW1959	GW1964	GW1967	GW1968	GW1969	GW1973	GW1979	GW1982
OTU_1	21367	16855	23543	26818	14682	19141	11224	0	1	0	0	0	0	0	15	0	312	4	4	9	12323
OTU_10	0	0	1	0	0	0	0	2124	2691	1987	1780	2116	1535	1229	9	1	1	0	0	14	3
OTU_100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	1	0	0	0	0
OTU_1000	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_1001	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1002	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
OTU_1003	2	5	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0
OTU_1004	0	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_1005	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1006	1	7	2	1	0	1	1	1	1	0	0	0	0	0	0	5	7	2	1	4	2
OTU_1007	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	3	1	3	1	0
OTU_1008	0	5	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1009	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	5	0	3	1	0
OTU_101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	75	55	22	1	2	0
OTU_1010	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU_1011	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1012	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1013	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1014	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
OTU_1015	2	5	0	0	0	0	3	0	0	0	0	0	0	0	4	0	1	2	3	1	0
OTU_1016	1	4	0	1	0	0	2	0	0	0	0	0	0	0	0	4	1	1	4	7	1
